Frequency_Hz,Real,Imaginary,Magnitude_dB,Phase_deg
384875000.0,0.000145025676563,8.53075579862e-06,-76.75610102896498,3.3663951687518927
389873333.333,8.20057691354e-05,1.74942506875e-05,-81.52983212228868,12.04236571158636
394871666.667,1.42350257839e-05,1.68127429345e-05,-93.1398587490971,49.746053174141956
399870000.0,0.000161200041967,-1.6108141267e-06,-75.85226335546272,-0.5725170924013837
404868333.333,-1.28699357045e-05,5.07348432435e-05,-85.62303400198002,104.23400802474076
409866666.667,2.98737433257e-05,7.11329937263e-05,-82.25312026225964,67.21904175495749
414865000.0,-2.48313119292e-05,8.64793633435e-05,-80.91768429087804,106.02066177627698
419863333.333,5.77067717929e-05,2.78546895372e-05,-83.86585789290629,25.766306357670796
424861666.667,5.83303226217e-05,0.000104624745838,-78.43185508010025,60.85948653963584
429860000.0,4.28597753601e-06,-4.58746666502e-05,-86.73079741866744,-84.6624650210498
434858333.333,4.26090692975e-05,-6.82971098681e-05,-81.88423117369099,-58.04086513084488
439856666.667,9.18047299493e-05,-0.000115117639958,-76.63937126988225,-51.42812253729548
444855000.0,8.91378972444e-06,1.87038789587e-05,-93.67248484053485,64.51872684439563
449853333.333,1.55161465996e-05,-1.02540646889e-05,-94.6105364667686,-33.45928541409427
454851666.667,5.22411201453e-05,-1.01161829164e-05,-85.47987760771082,-10.95934659968379
459850000.0,5.02052441576e-05,-6.73796219453e-05,-81.51159622173651,-53.309828827360974
464848333.333,-4.06038832833e-05,1.80389345466e-05,-87.04635582036586,156.04603777903043
469846666.667,8.01692889649e-05,-2.56532267972e-05,-81.49647705938992,-17.74405854496324
474845000.0,5.8099069978e-06,-1.38526146668e-05,-96.46564753698996,-67.2463996123517
479843333.333,6.15010479327e-05,-9.31081071889e-05,-79.047783786654,-56.55389140095379
484841666.667,-0.000111285326325,-4.3072480482e-05,-78.46500306097181,-158.84129709842128
489840000.0,-5.07992580602e-05,5.71105016102e-05,-82.33425511375455,131.65279439669348
494838333.333,-3.6935488974e-05,-3.6254521453e-05,-85.72088783936977,-135.53307055059713
499836666.667,9.39295992586e-05,-8.31164958373e-05,-78.03240314715366,-41.504997337277075
504835000.0,6.20662028043e-06,-6.35045756007e-05,-83.902612137247,-84.4179249864594
509833333.333,3.4068661556e-05,-6.32601185769e-05,-82.87138563885728,-61.69536801984874
514831666.667,6.91937887869e-07,4.0746584058e-05,-87.79692367985531,89.02712555176335
519830000.0,-5.07505995214e-05,-4.46832255108e-05,-83.3987345146904,-138.63778435307748
524828333.333,1.39269973851e-05,-8.34042273549e-06,-95.79179978344122,-30.91601111025424
529826666.667,1.86786447386e-06,5.92157718096e-05,-84.54693310565963,88.19329759068762
534825000.0,0.000106469825727,-5.61442996783e-05,-78.38991377540208,-27.803843821473905
539823333.333,-3.51280494464e-05,7.07395468305e-05,-82.04950219563364,116.40820895218866
544821666.667,-4.79331975785e-05,3.60262087615e-05,-84.44243225617399,143.07176871804538
549820000.0,-3.96266034927e-05,-3.69822702315e-05,-85.31954710322313,-136.97691206615195
554818333.333,-8.39875510257e-05,-7.51040425671e-05,-78.9638351272611,-138.1960175398117
559816666.667,-6.16257894705e-05,2.11559513326e-05,-83.72090365780261,161.05280533691555
564815000.0,-5.39948141835e-05,-8.249864019e-06,-85.25273926517102,-171.312964885277
569813333.333,-2.82465200041e-05,-4.09712437208e-05,-86.06160141231398,-124.58327500834523
574811666.667,6.96751085579e-05,1.25604280642e-05,-82.99955569190226,10.219034036470864
579810000.0,-0.000124856079271,-5.01878895073e-05,-77.42132757148313,-158.10155358111993
584808333.333,2.59922145292e-05,-4.35771387213e-05,-85.89296605446178,-59.185425459215274
589806666.667,-2.73456068292e-05,7.66169895363e-05,-81.79276826882116,109.64214796931405
594805000.0,-2.92898189572e-05,-6.54264957291e-05,-82.8916196248173,-114.11687831116383
599803333.333,2.30658191989e-05,-2.73285390935e-05,-88.93169842948583,-49.83498258059076
604801666.667,0.000103574104562,-0.000103256736995,-76.69798375084513,-44.91208367313386
609800000.0,2.65062929595e-05,3.99599726188e-05,-86.38388687954216,56.44284377994973
614798333.333,-8.86315872981e-05,-2.17511984311e-05,-80.79424194037274,-166.21146683465923
619796666.667,0.000114955705471,-6.56030528448e-05,-77.56501229091958,-29.712587616487127
624795000.0,-4.11294326069e-05,5.85778343105e-05,-82.90476246094214,125.07396079623122
629793333.333,1.78654478798e-05,-6.96733442894e-05,-82.8621142212821,-75.61822901011804
634791666.667,1.77884124045e-05,-6.30916350518e-05,-83.66836462596412,-74.2544324717289
639790000.0,2.01023172071e-05,-4.85495948097e-05,-85.58907433721171,-67.50763934773312
644788333.333,2.94956325731e-05,-4.50944279449e-07,-90.60383071245253,-0.875898869979717
649786666.667,2.13858498778e-06,8.06084824053e-05,-81.86932931556092,88.4802696486912
654785000.0,4.96422316506e-06,2.37182256973e-05,-92.31215623220349,78.17864272312242
659783333.333,9.60977557929e-05,1.47592570759e-05,-80.2444806075165,8.731593134804488
664781666.667,3.39445737895e-05,-2.69896114465e-05,-87.25686660542728,-38.488500409982386
