Voltage,Wavelength,InsertionLoss
0.500,1545.0750,-119.0473
0.500,1545.0751,-119.0473
0.500,1545.0752,-119.0476
0.500,1545.0753,-119.0478
0.500,1545.0754,-119.0477
0.500,1545.0755,-119.0474
0.500,1545.0756,-119.0479
0.500,1545.0757,-119.0481
0.500,1545.0758,-119.0485
0.500,1545.0759,-119.0485
0.500,1545.0760,-119.0483
0.500,1545.0761,-119.0489
0.500,1545.0762,-119.0490
0.500,1545.0763,-119.0488
0.500,1545.0764,-119.0489
0.500,1545.0765,-119.0489
0.500,1545.0766,-119.0490
0.500,1545.0767,-119.0481
0.500,1545.0768,-119.0474
0.500,1545.0769,-119.0481
0.500,1545.0770,-119.0484
0.500,1545.0771,-119.0483
0.500,1545.0772,-119.0482
0.500,1545.0773,-119.0480
0.500,1545.0774,-119.0486
0.500,1545.0775,-119.0487
0.500,1545.0776,-119.0481
0.500,1545.0777,-119.0484
0.500,1545.0778,-119.0483
0.500,1545.0779,-119.0488
0.500,1545.0780,-119.0487
0.500,1545.0781,-119.0481
0.500,1545.0782,-119.0484
0.500,1545.0783,-119.0491
0.500,1545.0784,-119.0490
0.500,1545.0785,-119.0490
0.500,1545.0786,-119.0490
0.500,1545.0787,-119.0491
0.500,1545.0788,-119.0495
0.500,1545.0789,-119.0488
0.500,1545.0790,-119.0488
0.500,1545.0791,-119.0492
0.500,1545.0792,-119.0493
0.500,1545.0793,-119.0493
0.500,1545.0794,-119.0491
0.500,1545.0795,-119.0489
0.500,1545.0796,-119.0497
0.500,1545.0797,-119.0495
0.500,1545.0798,-119.0496
0.500,1545.0799,-119.0494
0.500,1545.0800,-119.0494
0.500,1545.0801,-119.0501
0.500,1545.0802,-119.0497
0.500,1545.0803,-119.0488
0.500,1545.0804,-119.0485
0.500,1545.0805,-119.0489
0.500,1545.0806,-119.0485
0.500,1545.0807,-119.0489
0.500,1545.0808,-119.0491
0.500,1545.0809,-119.0488
0.500,1545.0810,-119.0490
0.500,1545.0811,-119.0485
0.500,1545.0812,-119.0484
0.500,1545.0813,-119.0485
0.500,1545.0814,-119.0487
0.500,1545.0815,-119.0491
0.500,1545.0816,-119.0494
0.500,1545.0817,-119.0493
0.500,1545.0818,-119.0495
0.500,1545.0819,-119.0498
0.500,1545.0820,-119.0494
0.500,1545.0821,-119.0496
0.500,1545.0822,-119.0496
0.500,1545.0823,-119.0499
0.500,1545.0824,-119.0500
0.500,1545.0825,-119.0496
0.500,1545.0826,-119.0496
0.500,1545.0827,-119.0498
0.500,1545.0828,-119.0497
0.500,1545.0829,-119.0496
0.500,1545.0830,-119.0500
0.500,1545.0831,-119.0498
0.500,1545.0832,-119.0501
0.500,1545.0833,-119.0505
0.500,1545.0834,-119.0500
0.500,1545.0835,-119.0496
0.500,1545.0836,-119.0499
0.500,1545.0837,-119.0501
0.500,1545.0838,-119.0503
0.500,1545.0839,-119.0504
0.500,1545.0840,-119.0499
0.500,1545.0841,-119.0499
0.500,1545.0842,-119.0502
0.500,1545.0843,-119.0498
0.500,1545.0844,-119.0495
0.500,1545.0845,-119.0496
0.500,1545.0846,-119.0499
0.500,1545.0847,-119.0507
0.500,1545.0848,-119.0499
0.500,1545.0849,-119.0496
0.500,1545.0850,-119.0488
0.500,1545.0851,-119.0494
0.500,1545.0852,-119.0507
0.500,1545.0853,-119.0512
0.500,1545.0854,-119.0503
0.500,1545.0855,-119.0497
0.500,1545.0856,-119.0497
0.500,1545.0857,-119.0489
0.500,1545.0858,-119.0491
0.500,1545.0859,-119.0512
0.500,1545.0860,-119.0524
0.500,1545.0861,-119.0505
0.500,1545.0862,-119.0488
0.500,1545.0863,-119.0498
0.500,1545.0864,-119.0514
0.500,1545.0865,-119.0504
0.500,1545.0866,-119.0492
