Voltage (V),Wavelength (nm),Insertion Loss (dB)
0.000,1545.07,-14.3421
0.000,1545.07,-14.3409
0.000,1545.07,-14.3419
0.000,1545.07,-14.3446
0.000,1545.07,-14.3462
0.000,1545.07,-14.3486
0.000,1545.07,-14.3521
0.000,1545.07,-14.3500
0.000,1545.07,-14.3446
0.000,1545.07,-14.3413
0.000,1545.07,-14.3409
0.000,1545.07,-14.3421
0.000,1545.07,-14.3432
0.000,1545.07,-14.3472
0.000,1545.07,-14.3506
0.000,1545.07,-14.3483
0.000,1545.07,-14.3429
0.000,1545.07,-14.3409
0.000,1545.07,-14.3409
0.000,1545.07,-14.3417
0.000,1545.07,-14.3467
0.000,1545.07,-14.3498
0.000,1545.08,-14.3474
0.000,1545.08,-14.3432
0.000,1545.08,-14.3409
0.000,1545.08,-14.3384
0.000,1545.08,-14.3382
0.000,1545.08,-14.3437
0.000,1545.08,-14.3476
0.000,1545.08,-14.3460
0.000,1545.08,-14.3439
0.000,1545.08,-14.3419
0.000,1545.08,-14.3385
0.000,1545.08,-14.3367
0.000,1545.08,-14.3403
0.000,1545.08,-14.3448
0.000,1545.08,-14.3448
0.000,1545.08,-14.3439
0.000,1545.08,-14.3420
0.000,1545.08,-14.3365
0.000,1545.08,-14.3339
0.000,1545.08,-14.3379
0.000,1545.08,-14.3426
0.000,1545.08,-14.3441
0.000,1545.08,-14.3448
0.000,1545.08,-14.3425
0.000,1545.08,-14.3356
0.000,1545.08,-14.3334
0.000,1545.08,-14.3377
0.000,1545.08,-14.3406
0.000,1545.08,-14.3430
0.000,1545.08,-14.3450
0.000,1545.08,-14.3402
0.000,1545.08,-14.3346
0.000,1545.08,-14.3351
0.000,1545.08,-14.3370
0.000,1545.08,-14.3387
0.000,1545.08,-14.3445
0.000,1545.08,-14.3438
0.000,1545.08,-14.3370
0.000,1545.08,-14.3337
0.000,1545.08,-14.3336
0.000,1545.08,-14.3344
0.000,1545.08,-14.3392
0.000,1545.08,-14.3434
0.000,1545.08,-14.3389
0.000,1545.08,-14.3349
0.000,1545.08,-14.3333
0.000,1545.08,-14.3317
0.000,1545.08,-14.3354
0.000,1545.08,-14.3423
0.000,1545.08,-14.3396
0.000,1545.08,-14.3353
0.000,1545.08,-14.3335
0.000,1545.08,-14.3307
0.000,1545.08,-14.3280
0.000,1545.08,-14.3306
0.000,1545.08,-14.3352
0.000,1545.08,-14.3393
0.000,1545.08,-14.3400
0.000,1545.08,-14.3385
0.000,1545.08,-14.3377
0.000,1545.08,-14.3359
0.000,1545.08,-14.3316
0.000,1545.08,-14.3287
0.000,1545.08,-14.3324
0.000,1545.08,-14.3374
0.000,1545.08,-14.3373
0.000,1545.08,-14.3382
0.000,1545.08,-14.3361
0.000,1545.08,-14.3301
0.000,1545.08,-14.3280
0.000,1545.08,-14.3316
0.000,1545.08,-14.3350
0.000,1545.08,-14.3374
0.000,1545.08,-14.3385
0.000,1545.08,-14.3326
0.000,1545.08,-14.3269
0.000,1545.08,-14.3276
0.000,1545.08,-14.3305
0.000,1545.08,-14.3327
0.000,1545.08,-14.3376
0.000,1545.08,-14.3370
0.000,1545.08,-14.3326
0.000,1545.08,-14.3282
0.000,1545.08,-14.3270
0.000,1545.08,-14.3275
0.000,1545.08,-14.3289
0.000,1545.08,-14.3304
0.000,1545.08,-14.3340
0.000,1545.08,-14.3380
0.000,1545.08,-14.3374
0.000,1545.08,-14.3338
0.000,1545.08,-14.3287
0.000,1545.08,-14.3271
0.000,1545.08,-14.3257
0.000,1545.08,-14.3286
0.000,1545.08,-14.3347
0.000,1545.08,-14.3347
0.000,1545.08,-14.3296
0.000,1545.08,-14.3272
0.000,1545.08,-14.3248
0.000,1545.09,-14.3228
0.000,1545.09,-14.3268
0.000,1545.09,-14.3325
0.000,1545.09,-14.3330
0.000,1545.09,-14.3304
0.000,1545.09,-14.3280
0.000,1545.09,-14.3237
0.000,1545.09,-14.3206
0.000,1545.09,-14.3237
0.000,1545.09,-14.3287
0.000,1545.09,-14.3304
0.000,1545.09,-14.3298
0.000,1545.09,-14.3297
0.000,1545.09,-14.3245
0.000,1545.09,-14.3189
0.000,1545.09,-14.3227
0.000,1545.09,-14.3278
0.000,1545.09,-14.3297
0.000,1545.09,-14.3313
0.000,1545.09,-14.3304
0.000,1545.09,-14.3245
0.000,1545.09,-14.3212
0.000,1545.09,-14.3231
0.000,1545.09,-14.3252
0.000,1545.09,-14.3271
0.000,1545.09,-14.3308
0.000,1545.09,-14.3327
0.000,1545.09,-14.3277
0.000,1545.09,-14.3216
0.000,1545.09,-14.3200
0.000,1545.09,-14.3218
0.000,1545.09,-14.3226
0.000,1545.09,-14.3243
0.000,1545.09,-14.3291
0.000,1545.09,-14.3308
0.000,1545.09,-14.3246
0.000,1545.09,-14.3193
0.000,1545.09,-14.3185
0.000,1545.09,-14.3190
0.000,1545.09,-14.3203
0.000,1545.09,-14.3256
0.000,1545.09,-14.3295
0.000,1545.09,-14.3277
0.000,1545.09,-14.3236
0.000,1545.09,-14.3216
0.000,1545.09,-14.3201
0.000,1545.09,-14.3167
0.000,1545.09,-14.3174
0.000,1545.09,-14.3233
0.000,1545.09,-14.3275
0.000,1545.09,-14.3265
0.000,1545.09,-14.3223
0.000,1545.09,-14.3198
0.000,1545.09,-14.3159
0.000,1545.09,-14.3133
0.000,1545.09,-14.3187
0.000,1545.09,-14.3250
0.000,1545.09,-14.3247
0.000,1545.09,-14.3242
0.000,1545.09,-14.3229
0.000,1545.09,-14.3172
0.000,1545.09,-14.3111
0.000,1545.09,-14.3162
0.000,1545.09,-14.3223
0.000,1545.09,-14.3235
0.000,1545.09,-14.3247
0.000,1545.09,-14.3238
0.000,1545.09,-14.3180
0.000,1545.09,-14.3132
0.000,1545.09,-14.3163
0.000,1545.09,-14.3207
0.000,1545.09,-14.3238
0.000,1545.09,-14.3232
0.000,1545.09,-14.3174
0.000,1545.09,-14.3138
0.000,1545.09,-14.3156
0.000,1545.09,-14.3212
