2026/1/10,15:53:26,,,
Soft ware,IL STS,Ver.4.7.3,,
TSL,SANTEC,TSL-710,20090003,0003.0051,,,
PowerMeter,SANTEC,MPM-210,20090002,Ver.1.12,,,
 ,Module1,MPM-211,20090004,20090004M211
PowerMonitor,USB-6210 22435060,,,
Start,1545.000000,nm,,
Stop,1555.000000,nm,,
Step,0.000100,nm,,
Speed,1.000000,nm/s,,
Source power,10.000000,dBm,,
Averaging Time,0.000100,s,,
Power meter range,,dBm,,
TSL PM- range,0,,,
Wavelength(nm),IL Module1_CH1,,,
1545.02300000,-104.15857974,,,
1545.02310000,-104.15798456,,,
1545.02320000,-104.15690576,,,
1545.02330000,-104.15688917,,,
1545.02340000,-104.15916257,,,
1545.02350000,-104.16041239,,,
1545.02360000,-104.16108563,,,
1545.02370000,-104.16176352,,,
1545.02380000,-104.16281680,,,
1545.02390000,-104.16086237,,,
1545.02400000,-104.16237233,,,
1545.02410000,-104.16342576,,,
1545.02420000,-104.16287401,,,
1545.02430000,-104.16136516,,,
1545.02440000,-104.16117710,,,
1545.02450000,-104.16303314,,,
1545.02460000,-104.16369442,,,
1545.02470000,-104.16233917,,,
1545.02480000,-104.16125161,,,
1545.02490000,-104.16344319,,,
1545.02500000,-104.16279781,,,
1545.02510000,-104.16273102,,,
1545.02520000,-104.15871156,,,
1545.02530000,-104.16182677,,,
1545.02540000,-104.16119266,,,
1545.02550000,-104.16234567,,,
1545.02560000,-104.16169326,,,
1545.02570000,-104.16154797,,,
1545.02580000,-104.16270012,,,
1545.02590000,-104.16110584,,,
1545.02600000,-104.15899362,,,
1545.02610000,-104.15966415,,,
1545.02620000,-104.16038150,,,
1545.02630000,-104.16072185,,,
1545.02640000,-104.16088247,,,
1545.02650000,-104.15759868,,,
1545.02660000,-104.15723542,,,
1545.02670000,-104.15645283,,,
1545.02680000,-104.15717161,,,
1545.02690000,-104.16003564,,,
1545.02700000,-104.15878008,,,
1545.02710000,-104.15809367,,,
1545.02720000,-104.15951138,,,
1545.02730000,-104.16240211,,,
1545.02740000,-104.16253370,,,
1545.02750000,-104.15987521,,,
1545.02760000,-104.15786385,,,
1545.02770000,-104.15717585,,,
1545.02780000,-104.15711435,,,
1545.02790000,-104.15953883,,,
1545.02800000,-104.15997644,,,
1545.02810000,-104.16114666,,,
