2026/1/10,15:40:15,,,
Soft ware,IL STS,Ver.4.7.3,,
TSL,SANTEC,TSL-710,20090003,0003.0051,,,
PowerMeter,SANTEC,MPM-210,20090002,Ver.1.12,,,
 ,Module1,MPM-211,20090004,20090004M211
PowerMonitor,USB-6210 22435060,,,
Start,1545.000000,nm,,
Stop,1555.000000,nm,,
Step,0.000100,nm,,
Speed,1.000000,nm/s,,
Source power,-10.000000,dBm,,
Averaging Time,0.000100,s,,
Power meter range,,dBm,,
TSL PM- range,0,,,
Wavelength(nm),IL Module1_CH1,,,
1545.03900000,-6.45702598,,,
1545.03910000,-6.45757625,,,
1545.03920000,-6.45540589,,,
1545.03930000,-6.45203268,,,
1545.03940000,-6.45261184,,,
1545.03950000,-6.45397722,,,
1545.03960000,-6.45563902,,,
1545.03970000,-6.45713589,,,
1545.03980000,-6.45917384,,,
1545.03990000,-6.45962753,,,
1545.04000000,-6.45917242,,,
1545.04010000,-6.45738388,,,
1545.04020000,-6.45811415,,,
1545.04030000,-6.46070442,,,
1545.04040000,-6.46089590,,,
1545.04050000,-6.45957964,,,
1545.04060000,-6.45967469,,,
1545.04070000,-6.45736350,,,
1545.04080000,-6.45728855,,,
1545.04090000,-6.45875029,,,
1545.04100000,-6.45791688,,,
1545.04110000,-6.45786407,,,
1545.04120000,-6.45924080,,,
1545.04130000,-6.45914601,,,
1545.04140000,-6.45687828,,,
1545.04150000,-6.45486134,,,
1545.04160000,-6.45706581,,,
1545.04170000,-6.45963352,,,
1545.04180000,-6.45914457,,,
1545.04190000,-6.46007273,,,
1545.04200000,-6.46046481,,,
1545.04210000,-6.46114266,,,
1545.04220000,-6.46160267,,,
1545.04230000,-6.46100690,,,
1545.04240000,-6.45749433,,,
1545.04250000,-6.45904385,,,
1545.04260000,-6.45787868,,,
1545.04270000,-6.45904884,,,
1545.04280000,-6.45833103,,,
1545.04290000,-6.45617796,,,
1545.04300000,-6.45555172,,,
1545.04310000,-6.45603964,,,
1545.04320000,-6.45727269,,,
1545.04330000,-6.45977655,,,
1545.04340000,-6.45787754,,,
1545.04350000,-6.45663325,,,
1545.04360000,-6.45269885,,,
1545.04370000,-6.45257910,,,
1545.04380000,-6.45398453,,,
1545.04390000,-6.45549625,,,
1545.04400000,-6.45624171,,,
1545.04410000,-6.45818982,,,
1545.04420000,-6.45684951,,,
1545.04430000,-6.45966186,,,
1545.04440000,-6.46085733,,,
1545.04450000,-6.45940375,,,
1545.04460000,-6.45705131,,,
1545.04470000,-6.45797142,,,
1545.04480000,-6.45678424,,,
1545.04490000,-6.45788363,,,
1545.04500000,-6.45831440,,,
1545.04510000,-6.45608498,,,
1545.04520000,-6.45521223,,,
1545.04530000,-6.45704680,,,
1545.04540000,-6.45730340,,,
1545.04550000,-6.45953866,,,
1545.04560000,-6.46158387,,,
1545.04570000,-6.46255403,,,
1545.04580000,-6.46230439,,,
1545.04590000,-6.45846487,,,
1545.04600000,-6.45743714,,,
1545.04610000,-6.45569761,,,
1545.04620000,-6.46056140,,,
1545.04630000,-6.46201253,,,
1545.04640000,-6.46380553,,,
1545.04650000,-6.46381096,,,
1545.04660000,-6.46194328,,,
1545.04670000,-6.46081671,,,
1545.04680000,-6.46169340,,,
1545.04690000,-6.46295404,,,
1545.04700000,-6.46304320,,,
1545.04710000,-6.46408999,,,
1545.04720000,-6.46551564,,,
1545.04730000,-6.46506623,,,
1545.04740000,-6.46627071,,,
1545.04750000,-6.46437773,,,
1545.04760000,-6.45960768,,,
1545.04770000,-6.46216741,,,
1545.04780000,-6.46364048,,,
1545.04790000,-6.46315432,,,
1545.04800000,-6.46218240,,,
1545.04810000,-6.46009786,,,
1545.04820000,-6.46065563,,,
1545.04830000,-6.46222732,,,
1545.04840000,-6.46109914,,,
1545.04850000,-6.46083596,,,
1545.04860000,-6.46338323,,,
1545.04870000,-6.46375501,,,
1545.04880000,-6.46184540,,,
1545.04890000,-6.46597077,,,
1545.04900000,-6.46421710,,,
1545.04910000,-6.46081415,,,
1545.04920000,-6.45929074,,,
1545.04930000,-6.45823860,,,
1545.04940000,-6.45888211,,,
1545.04950000,-6.46429915,,,
1545.04960000,-6.46393969,,,
1545.04970000,-6.46153822,,,
1545.04980000,-6.45791762,,,
1545.04990000,-6.45534876,,,
1545.05000000,-6.45532092,,,
1545.05010000,-6.45739089,,,
1545.05020000,-6.45954334,,,
1545.05030000,-6.46019716,,,
1545.05040000,-6.46029810,,,
1545.05050000,-6.45792492,,,
1545.05060000,-6.45639665,,,
1545.05070000,-6.45507004,,,
1545.05080000,-6.45507473,,,
1545.05090000,-6.45814596,,,
1545.05100000,-6.45709940,,,
1545.05110000,-6.46220526,,,
1545.05120000,-6.46126765,,,
1545.05130000,-6.46003751,,,
1545.05140000,-6.46124629,,,
1545.05150000,-6.46214274,,,
1545.05160000,-6.46235488,,,
1545.05170000,-6.46404676,,,
1545.05180000,-6.46447539,,,
1545.05190000,-6.46415785,,,
1545.05200000,-6.46542721,,,
1545.05210000,-6.46670599,,,
1545.05220000,-6.46494970,,,
1545.05230000,-6.46255124,,,
1545.05240000,-6.46485698,,,
