2026/1/10,15:44:05,,,
Soft ware,IL STS,Ver.4.7.3,,
TSL,SANTEC,TSL-710,20090003,0003.0051,,,
PowerMeter,SANTEC,MPM-210,20090002,Ver.1.12,,,
 ,Module1,MPM-211,20090004,20090004M211
PowerMonitor,USB-6210 22435060,,,
Start,1545.000000,nm,,
Stop,1555.000000,nm,,
Step,0.000100,nm,,
Speed,1.000000,nm/s,,
Source power,-10.000000,dBm,,
Averaging Time,0.000100,s,,
Power meter range,,dBm,,
TSL PM- range,0,,,
Wavelength(nm),IL Module1_CH1,,,
1545.06590000,-36.70473518,,,
1545.06600000,-36.68832690,,,
1545.06610000,-36.68214009,,,
1545.06620000,-36.67666915,,,
1545.06630000,-36.69401992,,,
1545.06640000,-36.70192725,,,
1545.06650000,-36.70195396,,,
1545.06660000,-36.70218199,,,
1545.06670000,-36.68952003,,,
1545.06680000,-36.67936451,,,
1545.06690000,-36.67422428,,,
1545.06700000,-36.67701070,,,
1545.06710000,-36.68661043,,,
1545.06720000,-36.70271427,,,
1545.06730000,-36.70475995,,,
1545.06740000,-36.69837625,,,
1545.06750000,-36.69032281,,,
1545.06760000,-36.67881460,,,
1545.06770000,-36.68349661,,,
1545.06780000,-36.69326943,,,
1545.06790000,-36.70003980,,,
1545.06800000,-36.71306266,,,
1545.06810000,-36.71311081,,,
1545.06820000,-36.70849212,,,
1545.06830000,-36.70224868,,,
1545.06840000,-36.69529283,,,
1545.06850000,-36.68892310,,,
1545.06860000,-36.69410574,,,
1545.06870000,-36.70722512,,,
1545.06880000,-36.72225120,,,
1545.06890000,-36.72882617,,,
1545.06900000,-36.71961503,,,
1545.06910000,-36.71130807,,,
1545.06920000,-36.69956338,,,
1545.06930000,-36.70222541,,,
1545.06940000,-36.70892816,,,
1545.06950000,-36.71988470,,,
1545.06960000,-36.73136598,,,
1545.06970000,-36.73036687,,,
1545.06980000,-36.72291916,,,
1545.06990000,-36.71501569,,,
1545.07000000,-36.70911609,,,
1545.07010000,-36.71393278,,,
1545.07020000,-36.72805441,,,
1545.07030000,-36.74352025,,,
1545.07040000,-36.74471693,,,
1545.07050000,-36.73861145,,,
1545.07060000,-36.72382537,,,
1545.07070000,-36.72320965,,,
1545.07080000,-36.72708601,,,
1545.07090000,-36.73771182,,,
1545.07100000,-36.74754644,,,
1545.07110000,-36.74779239,,,
1545.07120000,-36.74239703,,,
1545.07130000,-36.73442000,,,
1545.07140000,-36.72479069,,,
1545.07150000,-36.71429291,,,
1545.07160000,-36.71410412,,,
1545.07170000,-36.72663491,,,
1545.07180000,-36.73946857,,,
1545.07190000,-36.75076552,,,
1545.07200000,-36.73155115,,,
1545.07210000,-36.72159451,,,
1545.07220000,-36.71368389,,,
1545.07230000,-36.71514658,,,
1545.07240000,-36.72018345,,,
1545.07250000,-36.72843152,,,
1545.07260000,-36.73624314,,,
1545.07270000,-36.74181264,,,
1545.07280000,-36.74918560,,,
1545.07290000,-36.75090904,,,
1545.07300000,-36.74530254,,,
1545.07310000,-36.73778711,,,
1545.07320000,-36.72953881,,,
1545.07330000,-36.72508040,,,
1545.07340000,-36.72298931,,,
1545.07350000,-36.72652484,,,
1545.07360000,-36.73849045,,,
1545.07370000,-36.74440707,,,
1545.07380000,-36.74091863,,,
1545.07390000,-36.73689736,,,
1545.07400000,-36.72499514,,,
1545.07410000,-36.72315667,,,
1545.07420000,-36.73023638,,,
1545.07430000,-36.74022320,,,
1545.07440000,-36.74966402,,,
1545.07450000,-36.74634096,,,
1545.07460000,-36.74154087,,,
1545.07470000,-36.73399933,,,
1545.07480000,-36.72543563,,,
1545.07490000,-36.72512089,,,
1545.07500000,-36.73359470,,,
1545.07510000,-36.74683041,,,
1545.07520000,-36.75197727,,,
1545.07530000,-36.74851647,,,
1545.07540000,-36.73609881,,,
1545.07550000,-36.72871391,,,
1545.07560000,-36.72878031,,,
1545.07570000,-36.72725867,,,
1545.07580000,-36.73882597,,,
1545.07590000,-36.77014851,,,
1545.07600000,-36.76789177,,,
1545.07610000,-36.76188570,,,
1545.07620000,-36.75382225,,,
1545.07630000,-36.74712450,,,
1545.07640000,-36.74677110,,,
1545.07650000,-36.75576272,,,
1545.07660000,-36.76700847,,,
1545.07670000,-36.76810129,,,
1545.07680000,-36.76216814,,,
1545.07690000,-36.75267204,,,
1545.07700000,-36.74682349,,,
1545.07710000,-36.73540184,,,
1545.07720000,-36.74929437,,,
