Voltage,Wavelength,InsertionLoss
1.000,1545.0270,-99.6686
1.000,1545.0271,-99.6701
1.000,1545.0272,-99.6676
1.000,1545.0273,-99.6655
1.000,1545.0274,-99.6612
1.000,1545.0275,-99.6606
1.000,1545.0276,-99.6631
1.000,1545.0277,-99.6617
1.000,1545.0278,-99.6594
1.000,1545.0279,-99.6577
1.000,1545.0280,-99.6588
1.000,1545.0281,-99.6617
1.000,1545.0282,-99.6624
1.000,1545.0283,-99.6610
1.000,1545.0284,-99.6592
1.000,1545.0285,-99.6597
1.000,1545.0286,-99.6630
1.000,1545.0287,-99.6628
1.000,1545.0288,-99.6627
1.000,1545.0289,-99.6623
1.000,1545.0290,-99.6601
1.000,1545.0291,-99.6622
1.000,1545.0292,-99.6627
1.000,1545.0293,-99.6613
1.000,1545.0294,-99.6606
1.000,1545.0295,-99.6615
1.000,1545.0296,-99.6630
1.000,1545.0297,-99.6650
1.000,1545.0298,-99.6650
1.000,1545.0299,-99.6634
1.000,1545.0300,-99.6627
1.000,1545.0301,-99.6634
1.000,1545.0302,-99.6611
1.000,1545.0303,-99.6594
1.000,1545.0304,-99.6597
1.000,1545.0305,-99.6605
1.000,1545.0306,-99.6615
1.000,1545.0307,-99.6626
1.000,1545.0308,-99.6606
1.000,1545.0309,-99.6607
1.000,1545.0310,-99.6629
1.000,1545.0311,-99.6625
1.000,1545.0312,-99.6657
1.000,1545.0313,-99.6655
1.000,1545.0314,-99.6634
1.000,1545.0315,-99.6637
1.000,1545.0316,-99.6643
1.000,1545.0317,-99.6654
1.000,1545.0318,-99.6646
1.000,1545.0319,-99.6658
1.000,1545.0320,-99.6668
1.000,1545.0321,-99.6659
1.000,1545.0322,-99.6666
1.000,1545.0323,-99.6667
1.000,1545.0324,-99.6680
1.000,1545.0325,-99.6679
1.000,1545.0326,-99.6669
1.000,1545.0327,-99.6677
1.000,1545.0328,-99.6685
1.000,1545.0329,-99.6671
1.000,1545.0330,-99.6656
1.000,1545.0331,-99.6669
1.000,1545.0332,-99.6671
1.000,1545.0333,-99.6663
1.000,1545.0334,-99.6653
1.000,1545.0335,-99.6666
1.000,1545.0336,-99.6687
1.000,1545.0337,-99.6660
1.000,1545.0338,-99.6658
1.000,1545.0339,-99.6664
1.000,1545.0340,-99.6644
1.000,1545.0341,-99.6648
1.000,1545.0342,-99.6648
1.000,1545.0343,-99.6647
1.000,1545.0344,-99.6634
1.000,1545.0345,-99.6629
1.000,1545.0346,-99.6618
1.000,1545.0347,-99.6613
1.000,1545.0348,-99.6610
1.000,1545.0349,-99.6594
1.000,1545.0350,-99.6590
1.000,1545.0351,-99.6592
1.000,1545.0352,-99.6611
1.000,1545.0353,-99.6624
1.000,1545.0354,-99.6633
1.000,1545.0355,-99.6640
1.000,1545.0356,-99.6624
1.000,1545.0357,-99.6621
1.000,1545.0358,-99.6606
1.000,1545.0359,-99.6600
1.000,1545.0360,-99.6619
1.000,1545.0361,-99.6648
1.000,1545.0362,-99.6640
1.000,1545.0363,-99.6630
1.000,1545.0364,-99.6622
1.000,1545.0365,-99.6655
1.000,1545.0366,-99.6665
1.000,1545.0367,-99.6653
1.000,1545.0368,-99.6630
1.000,1545.0369,-99.6642
1.000,1545.0370,-99.6671
1.000,1545.0371,-99.6676
1.000,1545.0372,-99.6663
1.000,1545.0373,-99.6647
1.000,1545.0374,-99.6653
1.000,1545.0375,-99.6659
1.000,1545.0376,-99.6662
1.000,1545.0377,-99.6654
1.000,1545.0378,-99.6641
1.000,1545.0379,-99.6635
1.000,1545.0380,-99.6625
1.000,1545.0381,-99.6644
1.000,1545.0382,-99.6643
1.000,1545.0383,-99.6654
1.000,1545.0384,-99.6653
1.000,1545.0385,-99.6674
1.000,1545.0386,-99.6673
1.000,1545.0387,-99.6647
1.000,1545.0388,-99.6671
1.000,1545.0389,-99.6672
1.000,1545.0390,-99.6656
1.000,1545.0391,-99.6657
1.000,1545.0392,-99.6666
1.000,1545.0393,-99.6676
1.000,1545.0394,-99.6678
1.000,1545.0395,-99.6681
1.000,1545.0396,-99.6677
1.000,1545.0397,-99.6685
1.000,1545.0398,-99.6678
1.000,1545.0399,-99.6672
1.000,1545.0400,-99.6669
1.000,1545.0401,-99.6679
1.000,1545.0402,-99.6657
1.000,1545.0403,-99.6636
1.000,1545.0404,-99.6635
1.000,1545.0405,-99.6642
1.000,1545.0406,-99.6657
1.000,1545.0407,-99.6657
1.000,1545.0408,-99.6642
1.000,1545.0409,-99.6632
1.000,1545.0410,-99.6633
1.000,1545.0411,-99.6641
1.000,1545.0412,-99.6650
1.000,1545.0413,-99.6652
1.000,1545.0414,-99.6623
1.000,1545.0415,-99.6619
1.000,1545.0416,-99.6647
1.000,1545.0417,-99.6650
1.000,1545.0418,-99.6649
1.000,1545.0419,-99.6658
1.000,1545.0420,-99.6665
1.000,1545.0421,-99.6657
1.000,1545.0422,-99.6637
1.000,1545.0423,-99.6638
1.000,1545.0424,-99.6644
1.000,1545.0425,-99.6630
1.000,1545.0426,-99.6612
1.000,1545.0427,-99.6617
1.000,1545.0428,-99.6633
1.000,1545.0429,-99.6635
1.000,1545.0430,-99.6627
1.000,1545.0431,-99.6641
1.000,1545.0432,-99.6643
1.000,1545.0433,-99.6656
1.000,1545.0434,-99.6659
1.000,1545.0435,-99.6659
1.000,1545.0436,-99.6661
1.000,1545.0437,-99.6638
1.000,1545.0438,-99.6642
1.000,1545.0439,-99.6628
1.000,1545.0440,-99.6638
1.000,1545.0441,-99.6657
1.000,1545.0442,-99.6640
1.000,1545.0443,-99.6628
1.000,1545.0444,-99.6657
1.000,1545.0445,-99.6683
1.000,1545.0446,-99.6664
1.000,1545.0447,-99.6674
1.000,1545.0448,-99.6639
1.000,1545.0449,-99.6653
1.000,1545.0450,-99.6686
1.000,1545.0451,-99.6677
1.000,1545.0452,-99.6661
1.000,1545.0453,-99.6657
1.000,1545.0454,-99.6654
1.000,1545.0455,-99.6667
1.000,1545.0456,-99.6662
1.000,1545.0457,-99.6646
1.000,1545.0458,-99.6634
1.000,1545.0459,-99.6661
1.000,1545.0460,-99.6649
1.000,1545.0461,-99.6621
1.000,1545.0462,-99.6635
1.000,1545.0463,-99.6635
1.000,1545.0464,-99.6637
1.000,1545.0465,-99.6626
1.000,1545.0466,-99.6640
1.000,1545.0467,-99.6637
1.000,1545.0468,-99.6630
1.000,1545.0469,-99.6632
1.000,1545.0470,-99.6617
1.000,1545.0471,-99.6642
1.000,1545.0472,-99.6634
1.000,1545.0473,-99.6626
1.000,1545.0474,-99.6614
1.000,1545.0475,-99.6594
1.000,1545.0476,-99.6590
1.000,1545.0477,-99.6592
1.000,1545.0478,-99.6594
1.000,1545.0479,-99.6595
1.000,1545.0480,-99.6588
1.000,1545.0481,-99.6575
1.000,1545.0482,-99.6585
1.000,1545.0483,-99.6565
1.000,1545.0484,-99.6575
1.000,1545.0485,-99.6580
1.000,1545.0486,-99.6621
1.000,1545.0487,-99.6609
1.000,1545.0488,-99.6594
1.000,1545.0489,-99.6588
1.000,1545.0490,-99.6600
1.000,1545.0491,-99.6591
1.000,1545.0492,-99.6583
1.000,1545.0493,-99.6590
1.000,1545.0494,-99.6590
1.000,1545.0495,-99.6612
1.000,1545.0496,-99.6604
1.000,1545.0497,-99.6585
1.000,1545.0498,-99.6590
1.000,1545.0499,-99.6591
1.000,1545.0500,-99.6633
1.000,1545.0501,-99.6640
1.000,1545.0502,-99.6623
1.000,1545.0503,-99.6615
1.000,1545.0504,-99.6613
1.000,1545.0505,-99.6638
1.000,1545.0506,-99.6644
1.000,1545.0507,-99.6651
1.000,1545.0508,-99.6629
1.000,1545.0509,-99.6617
1.000,1545.0510,-99.6628
1.000,1545.0511,-99.6628
1.000,1545.0512,-99.6619
1.000,1545.0513,-99.6607
1.000,1545.0514,-99.6606
1.000,1545.0515,-99.6604
1.000,1545.0516,-99.6604
1.000,1545.0517,-99.6604
1.000,1545.0518,-99.6588
1.000,1545.0519,-99.6569
1.000,1545.0520,-99.6589
1.000,1545.0521,-99.6603
1.000,1545.0522,-99.6573
1.000,1545.0523,-99.6558
